time,temperature_2m,latitude,longitude,generationtime_ms,utc_offset_seconds,timezone,timezone_abbreviation,elevation
2025-07-06T21:00,21.2,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-06T22:00,20.7,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-06T23:00,20.2,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-07T00:00,19.7,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-07T01:00,19.3,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-07T02:00,18.9,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-07T03:00,18.6,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-07T04:00,18.5,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-07T05:00,18.6,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-07T06:00,18.9,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-07T07:00,19.8,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-07T08:00,20.9,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-07T09:00,22.1,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-07T10:00,23.3,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-07T11:00,24.4,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-07T12:00,25.4,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-07T13:00,26.4,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-07T14:00,27.2,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-07T15:00,27.2,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-07T16:00,26.0,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-07T17:00,24.0,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-07T18:00,22.3,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-07T19:00,21.0,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-07T20:00,20.0,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-07T21:00,19.1,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-07T22:00,18.2,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
2025-07-07T23:00,17.4,52.52,13.419998,0.040650367736816406,0,GMT,GMT,38.0
